mgi_symbol	ensembl_gene_id	external_gene_name
Slc13a3	ENSMUSG00000018459	Slc13a3
Atp5g3	ENSMUSG00000018770	Atp5g3
Atp6ap1	ENSMUSG00000019087	Atp6ap1
Dnase1l1	ENSMUSG00000019088	Dnase1l1
H13	ENSMUSG00000019188	H13
Lhx9	ENSMUSG00000019230	Lhx9
Gdpd2	ENSMUSG00000019359	Gdpd2
Slc6a8	ENSMUSG00000019558	Slc6a8
Akt3	ENSMUSG00000019699	Akt3
Gle1	ENSMUSG00000019715	Gle1
Btg2	ENSMUSG00000020423	Btg2
Gm9747	ENSMUSG00000022591	Gm9747
Enah	ENSMUSG00000022995	Enah
Rgn	ENSMUSG00000023070	Rgn
Mospd1	ENSMUSG00000023074	Mospd1
Fhl1	ENSMUSG00000023092	Fhl1
Msrb2	ENSMUSG00000023094	Msrb2
Ivns1abp	ENSMUSG00000023150	Ivns1abp
Ssxb2	ENSMUSG00000023165	Ssxb2
Il15ra	ENSMUSG00000023206	Il15ra
Lcn9	ENSMUSG00000023210	Lcn9
Epb42	ENSMUSG00000023216	Epb42
Serping1	ENSMUSG00000023224	Serping1
Scg5	ENSMUSG00000023236	Scg5
Cypt1	ENSMUSG00000023257	Cypt1
Bmp15	ENSMUSG00000023279	Bmp15
Dtwd1	ENSMUSG00000023330	Dtwd1
Dlx2	ENSMUSG00000023391	Dlx2
Slc17a9	ENSMUSG00000023393	Slc17a9
Ccndbp1	ENSMUSG00000023572	Ccndbp1
Maoa	ENSMUSG00000025037	Maoa
Efhc2	ENSMUSG00000025038	Efhc2
Fundc1	ENSMUSG00000025040	Fundc1
Dusp21	ENSMUSG00000025043	Dusp21
Nr0b1	ENSMUSG00000025056	Nr0b1
5430427O19Rik	ENSMUSG00000025058	5430427O19Rik
Gk	ENSMUSG00000025059	Gk
Maged1	ENSMUSG00000025151	Maged1
Tbl1x	ENSMUSG00000025246	Tbl1x
4933436I01Rik	ENSMUSG00000025288	4933436I01Rik
Ptprj	ENSMUSG00000025314	Ptprj
Phf6	ENSMUSG00000025626	Phf6
Hprt	ENSMUSG00000025630	Hprt
Arhgef9	ENSMUSG00000025656	Arhgef9
Tmem47	ENSMUSG00000025666	Tmem47
Myo3a	ENSMUSG00000025716	Myo3a
Crisp4	ENSMUSG00000025774	Crisp4
Crispld1	ENSMUSG00000025776	Crispld1
Gdap1	ENSMUSG00000025777	Gdap1
Ly96	ENSMUSG00000025779	Ly96
Itih5	ENSMUSG00000025780	Itih5
Atp5c1	ENSMUSG00000025781	Atp5c1
Taf3	ENSMUSG00000025782	Taf3
4930412O13Rik	ENSMUSG00000025783	4930412O13Rik
Dhtkd1	ENSMUSG00000025815	Dhtkd1
Sec61a2	ENSMUSG00000025816	Sec61a2
Nudt5	ENSMUSG00000025817	Nudt5
Pramel6	ENSMUSG00000025838	Pramel6
Pramel7	ENSMUSG00000025839	Pramel7
Xiap	ENSMUSG00000025860	Xiap
Stag2	ENSMUSG00000025862	Stag2
Rp1	ENSMUSG00000025900	Rp1
Sox17	ENSMUSG00000025902	Sox17
Lypla1	ENSMUSG00000025903	Lypla1
