	p_val	avg_logFC	pct.1	pct.2	p_val_adj	which_high
Fhl1	0	-1.3538604735792	0.442	0.869	0	Ependymal
3300002A11Rik	0	-1.43363050190227	0.044	0.631	0	Ependymal
Ecrg4	0	-1.44905066149168	0.837	0.975	0	Ependymal
1700007K13Rik	0	-1.4557129302464	0.394	0.883	0	Ependymal
Ascc1	0	-1.51361805599387	0.227	0.8	0	Ependymal
Pcp4l1	0	-1.514517693041	0.411	0.871	0	Ependymal
1110017D15Rik	0	-1.57748374663181	0.307	0.865	0	Ependymal
Dbi	0	-1.59970720521933	0.993	1	0	Ependymal
Btg2	0	-1.6028158865167	0.693	0.925	0	Ependymal
Dynlrb2	0	-1.6627561288225	0.278	0.891	0	Ependymal
Mia	0	-1.82693205396689	0.599	0.961	0	Ependymal
Tmem212	0	-1.9177296425637	0.297	0.853	0	Ependymal
Nnat	0	-1.94544358442144	0.873	0.977	0	Ependymal
Rarres2	0	-2.03101080107464	0.517	0.884	0	Ependymal
Ccdc153	0	-2.29112652993003	0.151	0.823	0	Ependymal
Cycs	4.82712564553759e-307	0.71190602276617	0.91	0.511	1.60149547542e-302	Astroependymal
Cd63	4.88961824138748e-306	0.591410602672611	0.997	0.966	1.62222864394513e-301	Astroependymal
Ddx39	2.60530065470993e-305	0.506659578749352	0.625	0.169	8.64360598213113e-301	Astroependymal
Egr1	4.3937705370419e-305	-1.37972993295389	0.704	0.875	1.45772125107439e-300	Ependymal
Ddx21	1.66392923363805e-302	0.648309517931755	0.701	0.247	5.52041801844097e-298	Astroependymal
Mrto4	9.32213507369868e-301	0.530301612506232	0.66	0.201	3.09280475340101e-296	Astroependymal
Efhd2	9.41920852392186e-297	0.678902429793553	0.61	0.177	3.12501081198155e-292	Astroependymal
Fam166b	1.08015932296642e-296	-0.994262105217746	0.09	0.6	3.5836445858057e-292	Ependymal
Atf3	9.35412473749573e-296	-1.46049303936953	0.582	0.841	3.10341796415896e-291	Ependymal
Uqcc2	7.99291205237198e-295	0.665584442583712	0.905	0.495	2.65180843161545e-290	Astroependymal
Gapdh	8.01124129824914e-294	0.527023960434966	0.996	0.968	2.65788952552012e-289	Astroependymal
Rpl41	1.08374422034673e-292	0.621055759541051	1	0.999	3.59553819984436e-288	Astroependymal
Rpl5	2.44117670747513e-291	0.509604345240914	0.993	0.903	8.09909196239022e-287	Astroependymal
Ldha	4.75847304041369e-291	0.714811501718524	0.94	0.613	1.57871860061805e-286	Astroependymal
Rpl31	6.91565099110212e-291	0.665838181607185	0.996	0.95	2.29440552931795e-286	Astroependymal
Rhoc	1.76043806987975e-290	0.553956777941813	0.575	0.141	5.84060538444004e-286	Astroependymal
Stoml3	2.42192157887952e-290	-1.11399352250208	0.074	0.581	8.03520922224859e-286	Ependymal
Tubb2a	4.48444069244137e-290	0.75185449533976	0.889	0.457	1.48780288853127e-285	Astroependymal
Cst3	5.90729985006474e-290	-0.667466264404864	0.98	0.993	1.95986487125598e-285	Ependymal
Ppa1	3.11141546958561e-289	0.603589319066044	0.758	0.3	1.03227431034442e-284	Astroependymal
Trp53bp2	8.91641306307146e-289	-1.14721261705406	0.203	0.649	2.95819836193522e-284	Ependymal
Fgl2	1.34502985205786e-286	0.589787909861141	0.652	0.185	4.46240554017238e-282	Astroependymal
Fam216b	3.79694723252041e-286	-1.04025508648087	0.117	0.604	1.2597131833333e-281	Ependymal
Naca	2.44435601180733e-284	0.573391691798505	0.978	0.824	8.10963994037318e-280	Astroependymal
Eef1b2	9.1966846847054e-282	0.63552284448376	0.965	0.757	3.05118407784471e-277	Astroependymal
Nav2	5.57669124355e-278	0.530897755445997	0.491	0.107	1.85017885387258e-273	Astroependymal
Ecm1	1.11108565449637e-277	0.521417286436679	0.53	0.118	3.68624887592259e-273	Astroependymal
Lap3	1.19541526414412e-277	0.503066984588571	0.634	0.19	3.96602922185095e-273	Astroependymal
Mlc1	1.25396852651978e-277	-0.90816991382393	0.542	0.805	4.16029138043468e-273	Ependymal
Fam166c	2.26606031181305e-277	-0.983283839567045	0.201	0.655	7.51810829650215e-273	Ependymal
Rpl37a	3.68500387748502e-276	0.583301060274275	0.999	0.989	1.2225737364332e-271	Astroependymal
Rps27l	1.24513754071081e-275	0.582447526737133	0.983	0.804	4.13099281881626e-271	Astroependymal
Meig1	3.4131495608576e-274	-1.00778989262043	0.323	0.724	1.13238062980573e-269	Ependymal
Cfap161	1.80732299888517e-273	-0.958918558631862	0.094	0.578	5.99615551340132e-269	Ependymal
2410004P03Rik	6.90484685539949e-273	-0.87292036630718	0.465	0.785	2.29082104121589e-268	Ependymal
Olfml3	8.12073964117919e-273	0.70232809063738	0.628	0.18	2.69421779075402e-268	Astroependymal
Bphl	1.59989306315075e-272	-0.867260028851352	0.516	0.789	5.30796521561525e-268	Ependymal
Eef2	2.04491305849883e-272	0.566972914547674	0.984	0.806	6.78440805418155e-268	Astroependymal
Aprt	5.61530970575382e-272	0.62050675886729	0.846	0.415	1.86299130107794e-267	Astroependymal
Btf3	6.79824606355316e-271	0.502683445986872	0.988	0.857	2.25545409650503e-266	Astroependymal
Rexo2	3.38491241659273e-270	0.598546336346106	0.905	0.527	1.12301239245297e-265	Astroependymal
Clu	4.86402951117387e-270	-0.63803170334442	0.969	0.994	1.61373907092216e-265	Ependymal
Phb2	8.86226869475358e-270	0.588979419394113	0.846	0.404	2.9402348848584e-265	Astroependymal
Nme5	4.19613827775004e-269	-0.883270499651519	0.425	0.762	1.39215279640913e-264	Ependymal
Hsp90aa1	1.88402248973067e-267	-0.841054724409456	0.989	0.992	6.25062141417946e-263	Ependymal
Impdh2	1.62183497924163e-266	0.616058050562092	0.872	0.432	5.38076191062996e-262	Astroependymal
Cd9	1.15247761474613e-265	0.751378682430325	0.991	0.923	3.82357498244323e-261	Astroependymal
Stmn2	7.14081973947223e-264	1.07828144765644	0.801	0.423	2.3691097649647e-259	Astroependymal
Rnase4	2.11689093113943e-263	-0.839538597197258	0.48	0.774	7.02320904224129e-259	Ependymal
Zfp36	5.83018067489438e-261	-1.28330709852009	0.554	0.787	1.93427904250971e-256	Ependymal
Clcn4	1.14418188835402e-259	-1.04133457347897	0.439	0.736	3.79605225099213e-255	Ependymal
Actn4	1.40316880695965e-257	0.62161533310072	0.702	0.282	4.65529315085003e-253	Astroependymal
Pcp4	1.47813596977978e-256	-1.3249946457674	0.084	0.551	4.90401170693838e-252	Ependymal
Ccn1	1.61108626534463e-256	-1.36389620991788	0.582	0.832	5.34510090253386e-252	Ependymal
Cetn2	2.12320365135216e-256	-0.781226383897247	0.727	0.854	7.04415275409106e-252	Ependymal
Akr1b3	6.22032087470783e-255	0.518754164360352	0.704	0.255	2.06371585660182e-250	Astroependymal
Myl12a	2.24185903841011e-252	0.600047603467662	0.941	0.601	7.43781573173323e-248	Astroependymal
Lyar	3.46565741958332e-252	0.515705241033337	0.672	0.236	1.14980116209516e-247	Astroependymal
Rsph4a	6.15430521878774e-251	-0.89844681683461	0.084	0.545	2.04181384243721e-246	Ependymal
Hnrnpa1	3.58474831294791e-247	0.563262184000763	0.956	0.721	1.18931194778673e-242	Astroependymal
Slc5a3	7.10495815665562e-247	0.718776869999596	0.765	0.338	2.35721196763364e-242	Astroependymal
Emp1	8.73403678190865e-247	0.681617876712648	0.802	0.35	2.89769138313383e-242	Astroependymal
Calml4	1.44493283754e-245	-0.922808126879486	0.399	0.722	4.79385367510647e-241	Ependymal
Gar1	7.39539050433675e-244	0.507950363513317	0.69	0.257	2.4535687076238e-239	Astroependymal
Cltb	6.23361435750927e-243	0.549872494110946	0.744	0.303	2.06812623539085e-238	Astroependymal
Gpx1	7.22193785369748e-243	0.62452136168913	0.904	0.488	2.39602232172121e-238	Astroependymal
Ramp1	1.53575902576912e-242	-0.976658653432625	0.366	0.713	5.09518771979422e-238	Ependymal
Atp5g1	6.65000596661269e-241	0.572466499977909	0.966	0.718	2.20627247954309e-236	Astroependymal
Akap12	7.58934488704458e-241	0.50767485822829	0.342	0.05	2.51791695317478e-236	Astroependymal
Set	3.8384020596815e-239	0.665015083982451	0.894	0.587	1.27346665134053e-234	Astroependymal
Lsm4	3.87224909125002e-238	0.550705221142921	0.896	0.484	1.28469608100402e-233	Astroependymal
Fbl	7.9491680186026e-238	0.574894529434511	0.856	0.457	2.63729547353179e-233	Astroependymal
Polr2l	1.19648859061758e-235	0.519016546085119	0.691	0.24	3.96959019709195e-231	Astroependymal
Fkbp1a	9.29410136755751e-234	0.564476757298329	0.958	0.681	3.08350401071456e-229	Astroependymal
Ccdc34	1.86563788916158e-233	-0.721665081810775	0.667	0.855	6.18962682487137e-229	Ependymal
Hspb1	2.57962321523728e-232	0.770690467169951	0.965	0.647	8.55841594119273e-228	Astroependymal
Spry2	8.23201632678399e-232	0.651429687798161	0.582	0.188	2.73113605673712e-227	Astroependymal
Tomm20	3.00477692162967e-231	0.53095829146525	0.897	0.553	9.96894839289077e-227	Astroependymal
Mrpl12	7.19786954127461e-231	0.507004017954354	0.784	0.346	2.38803717770868e-226	Astroependymal
Efcab10	4.47442851854026e-230	-0.955719319800265	0.171	0.586	1.4844811495961e-225	Ependymal
Arl4c	1.14225744572867e-229	0.570602529417617	0.603	0.204	3.789667527694e-225	Astroependymal
Gstm1	2.14367445888715e-229	-0.879941733083949	0.553	0.785	7.11206875224989e-225	Ependymal
Tbcb	4.50091479328455e-229	0.527211934739263	0.848	0.438	1.49326850096801e-224	Astroependymal
Tctex1d4	9.64465546151497e-229	-0.894727382403272	0.084	0.518	3.19980734246682e-224	Ependymal
Sorl1	1.87103626988453e-227	-0.92586901908062	0.235	0.616	6.20753703259591e-223	Ependymal
Gadd45g	9.41878170517179e-227	-1.22979349051417	0.568	0.814	3.12486920632485e-222	Ependymal
Fosb	3.75110151139352e-226	-1.20143653196466	0.488	0.748	1.24450294843503e-221	Ependymal
Bola2	9.22120031821467e-226	0.569445668836795	0.885	0.473	3.05931762957408e-221	Astroependymal
Cd24a	1.85293588208471e-225	-0.714453148743249	0.931	0.961	6.14748537599246e-221	Ependymal
Vmp1	2.5083334099875e-225	0.557928409538492	0.865	0.45	8.32189775431553e-221	Astroependymal
Ywhag	2.67141715528537e-225	0.584245643701369	0.713	0.317	8.86296069609027e-221	Astroependymal
Slc26a3	3.07339833874626e-224	-0.859604222264357	0.069	0.503	1.01966136684585e-219	Ependymal
Capsl	5.13334701326611e-224	-0.838915384295151	0.309	0.668	1.7030905385913e-219	Ependymal
Hnrnpab	1.11184445406326e-223	0.619889324851426	0.774	0.413	3.68876634524567e-219	Astroependymal
Nudt4	1.3460567557641e-222	-0.894685205584841	0.658	0.799	4.46581249859856e-218	Ependymal
1700001L19Rik	4.16158367447274e-222	-0.867001681026789	0.128	0.549	1.38068861567982e-217	Ependymal
Msn	5.61690326531578e-222	0.602187090272457	0.875	0.487	1.86351999633382e-217	Astroependymal
Tbrg1	1.45757580047916e-220	0.509630328237154	0.808	0.394	4.83579923324971e-216	Astroependymal
Sox2	3.23610518123694e-220	-0.87904573050433	0.646	0.799	1.07364261597898e-215	Ependymal
Elmod1	5.05405821571916e-220	-0.919327853717007	0.251	0.611	1.67678489422915e-215	Ependymal
Nap1l1	4.63167233255541e-219	0.543042388601852	0.904	0.594	1.53664992977191e-214	Astroependymal
Snrpd1	1.60268827341385e-218	0.539723792371036	0.886	0.553	5.31723888470512e-214	Astroependymal
Spag6l	9.38012501110681e-217	-0.819725364415138	0.19	0.579	3.1120440749349e-212	Ependymal
