"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff","ensembl"
"182",3.37706940625298e-49,0.26624259439055,0.434,0.403,1.12041031691255e-44,"H-Microglia","Sipa1",0.031,"ENSMUSG00000056917"
"183",1.18534416691825e-48,0.28474586163464,0.282,0.217,3.93261634258467e-44,"H-Microglia","Pmaip1",0.065,"ENSMUSG00000024521"
"184",8.18443504610982e-48,0.250468444857031,0.362,0.314,2.71535001524786e-43,"H-Microglia","Slc16a6",0.048,"ENSMUSG00000041920"
"185",1.38431921237474e-47,0.284793050195936,0.428,0.402,4.59275585089568e-43,"H-Microglia","Git2",0.026,"ENSMUSG00000041890"
"186",4.42992642558067e-47,0.260157426821682,0.364,0.316,1.4697166902149e-42,"H-Microglia","Dock10",0.048,"ENSMUSG00000038608"
"187",1.53702734845787e-45,0.260696376294453,0.358,0.306,5.09939563397867e-41,"H-Microglia","Akirin2",0.052,"ENSMUSG00000028291"
"188",5.46398337778721e-45,0.265502109763206,0.498,0.487,1.81278576524846e-40,"H-Microglia","Tifa",0.011,"ENSMUSG00000046688"
"189",6.53066921072069e-45,0.383808910705825,0.423,0.405,2.1666801240408e-40,"H-Microglia","Tob2",0.018,"ENSMUSG00000048546"
"190",2.98933517803542e-43,0.290123679926922,0.298,0.246,9.91771732016813e-39,"H-Microglia","Acox3",0.052,"ENSMUSG00000029098"
"191",2.63287845161196e-39,0.258511395985171,0.347,0.306,8.73510083891301e-35,"H-Microglia","Lyl1",0.041,"ENSMUSG00000034041"
"192",9.14461280933772e-39,0.370317523774549,0.422,0.379,3.03390819175398e-34,"H-Microglia","Gm9843",0.043,"ENSMUSG00000050299"
"193",6.12061541298158e-37,0.258991086383265,0.321,0.281,2.0306365755649e-32,"H-Microglia","Cd82",0.04,"ENSMUSG00000027215"
"194",3.77928396294601e-35,0.327287226238562,0.32,0.268,1.2538530403866e-30,"H-Microglia","ENSMUSG00000105361",0.052,"ENSMUSG00000105361"
"195",4.96720083389325e-34,0.253214514267153,0.227,0.177,1.64796822066076e-29,"H-Microglia","Gm26532",0.05,"ENSMUSG00000097296"
"196",9.26406476036296e-34,0.266834277690994,0.42,0.405,3.07353876554562e-29,"H-Microglia","Map3k8",0.015,"ENSMUSG00000024235"
