	p_val	avg_logFC	pct.1	pct.2	p_val_adj
Fam92a	0	0.288230649873494	0.372	0.104	0
Mras	0	0.287638810807645	0.263	0.064	0
Enho	0	0.287414799745758	0.205	0.023	0
Ndufb1-ps	0	0.286988912743048	0.371	0.185	0
Rassf9	0	0.286967693684712	0.243	0.079	0
Snap47	0	0.286832907742432	0.379	0.113	0
Fubp1	0	0.286703013597456	0.612	0.439	0
Cdc42bpa	0	0.286600561492901	0.311	0.102	0
Selenof	0	0.286597396127939	0.938	0.883	0
Drap1	0	0.28623448291127	0.596	0.379	0
Jun	0	0.285854693280327	0.918	0.797	0
Atpif1	0	0.285835357390851	0.892	0.769	0
Hnrnpr	0	0.285552332318914	0.537	0.327	0
Myef2	0	0.28546934941701	0.345	0.113	0
Rab28	0	0.285276858133063	0.466	0.222	0
Traf1	0	0.285020119242855	0.237	0.055	0
Snrpd1	0	0.284382180857818	0.659	0.482	0
Atp5k	0	0.284016931051104	0.894	0.771	0
Ahcyl1	0	0.283960480132655	0.385	0.181	0
Ralgps2	0	0.283917151671096	0.289	0.059	0
Dtx3	0	0.283693190333648	0.384	0.119	0
Romo1	0	0.283499926744936	0.786	0.637	0
Tsc22d1	0	0.283417584392771	0.788	0.365	0
Tcf12	0	0.283366055491789	0.438	0.224	0
Wasf3	0	0.283345524220739	0.254	0.017	0
Fads2	0	0.283316945038013	0.219	0.009	0
Sox21	0	0.283314596400934	0.232	0.003	0
Dcdc2a	0	0.283214875254662	0.221	0.004	0
Zwint	0	0.28309217622086	0.487	0.246	0
Tcf25	0	0.282852370416631	0.723	0.555	0
Fgfrl1	0	0.282822032887887	0.235	0.018	0
Senp6	0	0.282539484880428	0.43	0.234	0
Cxxc5	0	0.282048063565845	0.388	0.154	0
Fam149a	0	0.281965663085354	0.257	0.028	0
Rab31	0	0.281937287239225	0.384	0.201	0
Ric3	0	0.281006039859181	0.255	0.021	0
Tmem255a	0	0.280978750741346	0.224	0.01	0
Atraid	0	0.280812511755448	0.66	0.477	0
2010001K21Rik	0	0.280326334190465	0.144	0.001	0
Sgce	0	0.280238108539102	0.396	0.142	0
Prdx4	0	0.280213929505396	0.561	0.346	0
Atad1	0	0.280203650686109	0.437	0.199	0
Srcin1	0	0.279863475790897	0.207	0.011	0
Hspe1	0	0.279636566962565	0.924	0.825	0
Pcdh15	0	0.279612824711895	0.152	0.007	0
Slc4a8	0	0.27887508781897	0.233	0.012	0
