""	"p.value"	"FDR"	"gene"	"cluster"
"Flot2"	3.8396714243289e-13	3.980899338905e-10	"Flot2"	"C10"
"H2az2"	4.73421032070967e-13	4.75960290333894e-10	"H2az2"	"C10"
"Alyref"	5.65191069787407e-13	5.51510121245199e-10	"Alyref"	"C10"
"Lta4h"	1.01812920019897e-12	9.65099213571461e-10	"Lta4h"	"C10"
"Rrm2"	4.14722317950821e-12	3.82201176184844e-09	"Rrm2"	"C10"
"G6pdx"	4.94333978379483e-12	4.43257254072867e-09	"G6pdx"	"C10"
"Gm8186"	5.58865997195459e-12	4.87934136551414e-09	"Gm8186"	"C10"
"Tor1a"	7.97342239061781e-12	6.78292909368018e-09	"Tor1a"	"C10"
"Slbp"	9.58644262692151e-12	7.95123517583436e-09	"Slbp"	"C10"
"Trem3"	2.72667186312497e-11	2.20640957080237e-08	"Trem3"	"C10"
"H2ax"	5.05559937346817e-11	3.99356239079888e-08	"H2ax"	"C10"
"Csrp2"	5.71854150052279e-11	4.41218724099639e-08	"Csrp2"	"C10"
"Dck"	8.10208265379631e-11	6.10915445920453e-08	"Dck"	"C10"
"Usp1"	9.50390344938439e-11	7.00691121644945e-08	"Usp1"	"C10"
"Gm10282"	1.07968766572615e-10	7.78712993169492e-08	"Gm10282"	"C10"
"Serpinb1a"	1.84320256452238e-10	1.27460334557057e-07	"Serpinb1a"	"C10"
"Rab3d"	1.84407754129028e-10	1.27460334557057e-07	"Rab3d"	"C10"
"Nasp"	6.83716064447406e-10	4.62931589187175e-07	"Nasp"	"C10"
"Ube2s"	1.31336560864002e-09	8.71470615957001e-07	"Ube2s"	"C10"
"Triobp"	1.60059931436353e-09	1.0412369304439e-06	"Triobp"	"C10"
"Nudt21"	1.85941051725302e-09	1.18633966790199e-06	"Nudt21"	"C10"
"Mis18a"	2.04560226157948e-09	1.28050841947967e-06	"Mis18a"	"C10"
"Atg101"	2.27294452407822e-09	1.3964718606545e-06	"Atg101"	"C10"
"Rpia"	2.31773454059389e-09	1.39809961551424e-06	"Rpia"	"C10"
"Fam104a"	3.44691077485343e-09	2.04210997816629e-06	"Fam104a"	"C10"
"Erh"	4.62085793887614e-09	2.68958252347533e-06	"Erh"	"C10"
"Faf1"	6.49070249204633e-09	3.71279373411416e-06	"Faf1"	"C10"
"Raly"	7.5273385671147e-09	4.2327883329011e-06	"Raly"	"C10"
"Cdca8"	9.49242182812792e-09	5.24883464986333e-06	"Cdca8"	"C10"
"Pcbd2"	1.02082558658309e-08	5.55211975181431e-06	"Pcbd2"	"C10"
"Rpa1"	1.22388633573462e-08	6.54917370333344e-06	"Rpa1"	"C10"
"Magoh"	1.48372571276371e-08	7.81358221783518e-06	"Magoh"	"C10"
"Cklf"	1.59129951268284e-08	8.14719619953909e-06	"Cklf"	"C10"
"Ugdh"	1.59618938713579e-08	8.14719619953909e-06	"Ugdh"	"C10"
"Mrpl18"	1.68164497873804e-08	8.45332355448362e-06	"Mrpl18"	"C10"
"Frg1"	2.13830318844879e-08	1.0588430579577e-05	"Frg1"	"C10"
"Ezh2"	2.37737214785596e-08	1.1599128786679e-05	"Ezh2"	"C10"
"Top2a"	2.82963060609564e-08	1.36056021186138e-05	"Top2a"	"C10"
"Lsm3"	3.28498284082518e-08	1.55694108157224e-05	"Lsm3"	"C10"
"Nin"	3.86845054328914e-08	1.80765610809442e-05	"Nin"	"C10"
"Smc6"	4.15953080500472e-08	1.91667713218946e-05	"Smc6"	"C10"
"Mcm6"	5.51740365189789e-08	2.50754658847967e-05	"Mcm6"	"C10"
"Ccna2"	5.82706943222089e-08	2.61249571017287e-05	"Ccna2"	"C10"
"Adpgk"	6.76657082340411e-08	2.99326026944104e-05	"Adpgk"	"C10"
"Adss"	7.01492255113241e-08	3.06229059840684e-05	"Adss"	"C10"
"Cmc2"	9.46101316682174e-08	4.07646797189149e-05	"Cmc2"	"C10"
"Cpne3"	1.03632744207661e-07	4.40797891612511e-05	"Cpne3"	"C10"
"Mrpl40"	1.24082050596723e-07	5.21097492740188e-05	"Mrpl40"	"C10"
"Get4"	1.39956780483725e-07	5.80418263263567e-05	"Get4"	"C10"
"Fdps"	1.84615799640945e-07	7.56172640084892e-05	"Fdps"	"C10"
"Magohb"	2.02534214913283e-07	8.19448493680241e-05	"Magohb"	"C10"
"Nsmce4a"	2.0648147067256e-07	8.25353705120908e-05	"Nsmce4a"	"C10"
"Mthfd2"	2.79424648629306e-07	0.000110362756756839	"Mthfd2"	"C10"
"Mrpl57"	2.98746543276025e-07	0.000116606047838455	"Mrpl57"	"C10"
"Ppp1cb"	4.21968558454286e-07	0.000161843248897971	"Ppp1cb"	"C10"
"Trappc5"	4.24401321823055e-07	0.000161843248897971	"Trappc5"	"C10"
"Mettl9"	4.47266774628051e-07	0.000168624656611759	"Mettl9"	"C10"
"Dtl"	4.90320977135696e-07	0.000182779539982371	"Dtl"	"C10"
"Rbbp4"	5.68857917945054e-07	0.000209699990485145	"Rbbp4"	"C10"
"Grk6"	6.40260982956533e-07	0.000233427897049988	"Grk6"	"C10"
"Ybx3"	6.78440835869316e-07	0.000244659039256916	"Ybx3"	"C10"
