"Pair_name","Score","pval","adj_pval","Ligand_cell","Receptor_cell","split.by","Ligand","Receptor","Ligand_avgExp","Receptor_avgExp","Ligand_pct","Receptor_pct","Cell_pair","LR_pair","Ligand_cell_pct","Receptor_cell_pct"
"Clcf1_Cntfr",0.140483248663411,0,0.917,"Fibroblast","OPC-A","1dpi","Clcf1","Cntfr",0.0639363558514965,0.217030141475327,0.095,0.303,"Fibroblast_OPC-A","Clcf1_Cntfr",40,28.4
"Clcf1_Cntfr",0.305427060124583,0,0.536,"Astroependymal","OPC-A","1dpi","Clcf1","Cntfr",0.393823978773839,0.217030141475327,0.448,0.303,"Astroependymal_OPC-A","Clcf1_Cntfr",79.7,28.4
"Clcf1_Cntfr",0.12354591615705,0,0.942,"OPC-A","OPC-A","1dpi","Clcf1","Cntfr",0.0300616908387744,0.217030141475327,0.048,0.303,"OPC-A_OPC-A","Clcf1_Cntfr",28.4,28.4
"Clcf1_Cntfr",0.236037839821335,0,0.705,"OPC-B","OPC-A","1dpi","Clcf1","Cntfr",0.255045538167343,0.217030141475327,0.382,0.303,"OPC-B_OPC-A","Clcf1_Cntfr",69.8,28.4
"Clcf1_Cntfr",0.117020334106549,0,0.948,"Monocyte","OPC-B","1dpi","Clcf1","Cntfr",0.104420578340838,0.129620089872259,0.091,0.24,"Monocyte_OPC-B","Clcf1_Cntfr",57.4,69.8
"Clcf1_Cntfr",0.104743617723418,0,0.964,"Macrophage-A","OPC-B","1dpi","Clcf1","Cntfr",0.0798671455745757,0.129620089872259,0.073,0.24,"Macrophage-A_OPC-B","Clcf1_Cntfr",22.5,69.8
"Clcf1_Cntfr",0.0648100449361297,0.072,1,"Macrophage-B","OPC-B","1dpi","Clcf1","Cntfr",0,0.129620089872259,0,0.24,"Macrophage-B_OPC-B","Clcf1_Cntfr",1.7,69.8
"Clcf1_Cntfr",0.0831256337593358,0,0.996,"H-Microglia","OPC-B","1dpi","Clcf1","Cntfr",0.0366311776464122,0.129620089872259,0.06,0.24,"H-Microglia_OPC-B","Clcf1_Cntfr",17.3,69.8
"Clcf1_Cntfr",0.105772433923211,0,0.962,"DAM-A","OPC-B","1dpi","Clcf1","Cntfr",0.0819247779741617,0.129620089872259,0.114,0.24,"DAM-A_OPC-B","Clcf1_Cntfr",22.4,69.8
"Clcf1_Cntfr",0.0824891579789597,0,0.996,"DAM-B","OPC-B","1dpi","Clcf1","Cntfr",0.0353582260856601,0.129620089872259,0.06,0.24,"DAM-B_OPC-B","Clcf1_Cntfr",42.6,69.8
"Clcf1_Cntfr",0.0929293574810741,0,0.984,"DAM-C","OPC-B","1dpi","Clcf1","Cntfr",0.056238625089889,0.129620089872259,0.09,0.24,"DAM-C_OPC-B","Clcf1_Cntfr",42.1,69.8
"Clcf1_Cntfr",0.0967782228618779,0,0.977,"Fibroblast","OPC-B","1dpi","Clcf1","Cntfr",0.0639363558514965,0.129620089872259,0.095,0.24,"Fibroblast_OPC-B","Clcf1_Cntfr",40,69.8
"Clcf1_Cntfr",0.261722034323049,0,0.642,"Astroependymal","OPC-B","1dpi","Clcf1","Cntfr",0.393823978773839,0.129620089872259,0.448,0.24,"Astroependymal_OPC-B","Clcf1_Cntfr",79.7,69.8
"Clcf1_Cntfr",0.0798408903555169,0,0.997,"OPC-A","OPC-B","1dpi","Clcf1","Cntfr",0.0300616908387744,0.129620089872259,0.048,0.24,"OPC-A_OPC-B","Clcf1_Cntfr",28.4,69.8
"Clcf1_Cntfr",0.192332814019801,0,0.806,"OPC-B","OPC-B","1dpi","Clcf1","Cntfr",0.255045538167343,0.129620089872259,0.382,0.24,"OPC-B_OPC-B","Clcf1_Cntfr",69.8,69.8
"Clcf1_Cntfr",0.0730344863892825,0,1,"Monocyte","Oligodendrocyte","1dpi","Clcf1","Cntfr",0.104420578340838,0.0416483944377267,0.091,0.062,"Monocyte_Oligodendrocyte","Clcf1_Cntfr",57.4,39
"Clcf1_Cntfr",0.0607577700061512,0,1,"Macrophage-A","Oligodendrocyte","1dpi","Clcf1","Cntfr",0.0798671455745757,0.0416483944377267,0.073,0.062,"Macrophage-A_Oligodendrocyte","Clcf1_Cntfr",22.5,39
"Clcf1_Cntfr",0.0208241972188634,0.879,1,"Macrophage-B","Oligodendrocyte","1dpi","Clcf1","Cntfr",0,0.0416483944377267,0,0.062,"Macrophage-B_Oligodendrocyte","Clcf1_Cntfr",1.7,39
"Clcf1_Cntfr",0.0391397860420695,0.545,1,"H-Microglia","Oligodendrocyte","1dpi","Clcf1","Cntfr",0.0366311776464122,0.0416483944377267,0.06,0.062,"H-Microglia_Oligodendrocyte","Clcf1_Cntfr",17.3,39
"Clcf1_Cntfr",0.0617865862059442,0,1,"DAM-A","Oligodendrocyte","1dpi","Clcf1","Cntfr",0.0819247779741617,0.0416483944377267,0.114,0.062,"DAM-A_Oligodendrocyte","Clcf1_Cntfr",22.4,39
"Clcf1_Cntfr",0.0385033102616934,0.598,1,"DAM-B","Oligodendrocyte","1dpi","Clcf1","Cntfr",0.0353582260856601,0.0416483944377267,0.06,0.062,"DAM-B_Oligodendrocyte","Clcf1_Cntfr",42.6,39
